name,team,Pos,wRC,oWAR,offWAR,atBats,plateAppearances,hits,doubles,triples,homeRuns,walks,hitByPitch,sacFlies,sacBunts,intentionalWalks,strikeouts,doublePlays,steals,caughtStealing,runs,rbis,avg,obp,slg,ops,wOBA,wRAA,wSB,spd,ubr,PosAdj
김재상,Lions (KBO),2루,51.49035459,-0.005818441,-0.043735107,84,91,20,4,0,2,5,0,1,1,0,23,0,4,0,13,12,0.238095238,0.277777778,0.357142857,0.634920635,0.278661416,-5.967323482,0.831428718,5.947705944,0.14854369,0.037916667
정우영,Twins (KBO),P,-145.8241613,-0.02823033,-0.02823033,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.332303301,0,0,0,0
김호령,Tigers (KBO),중견,17.18641473,-0.416022706,-0.441856039,54,62,7,2,0,1,8,0,0,0,0,25,1,3,2,11,3,0.12962963,0.241935484,0.222222222,0.464157706,0.230214983,-6.940701472,-0.673071044,6.095298192,0.095212126,0.025833333
안승한,Bears (KBO),포수,-14.73659152,-0.045855539,-0.056272206,5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0.2,0.2,0.4,0.185131072,-0.77550042,0.001654143,1.414285714,-0.038875781,0.010416667
현원회,Landers (KBO),포수,-145.8241613,-0.026146997,-0.02823033,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.332303301,0,0,0,0.002083333
김태훈,Lions (KBO),우익,18.31755983,-0.161405232,-0.135155232,20,21,4,1,0,0,0,1,0,0,0,3,1,0,0,2,1,0.2,0.238095238,0.25,0.488095238,0.231812465,-2.31877221,0.006616572,3.066946779,-0.089396681,-0.02625
최승민,Twins (KBO),좌익,-34.50002527,-0.610811908,-0.590811908,13,16,1,0,0,0,2,0,0,1,0,3,0,11,7,20,1,0.076923077,0.2,0.076923077,0.276923077,0.157219763,-2.909058383,-2.320260232,42.27187546,-1.478800466,-0.02
백두산,Giants (KBO),포수,-145.8241613,-0.026146997,-0.02823033,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.332303301,0,0,0,0.002083333
권휘,Bears (KBO),P,-145.8241613,-0.02823033,-0.02823033,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.332303301,0,0,0,0
문승원,Landers (KBO),P,-145.8241613,-0.02823033,-0.02823033,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.332303301,0,0,0,0
백승현,Twins (KBO),P,-145.8241613,-0.02823033,-0.02823033,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.332303301,0,0,0,0
전준호,Twins (KBO),포수,-145.8241613,-0.026146997,-0.02823033,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.332303301,0,0,0,0.002083333
여동건,Bears (KBO),2루,143.6872532,0.190428472,0.185845139,10,11,4,0,0,0,1,0,0,0,0,2,0,3,0,2,0,0.4,0.454545455,0.4,0.854545455,0.40886835,0.649617197,0.608270715,6.313133341,0.050563476,0.004583333
황대인,Tigers (KBO),1루,71.17615658,-0.009467777,0.005115556,7,7,2,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0.285714286,0.285714286,0.428571429,0.714285714,0.306463088,-0.272747023,0.001654143,3.914285714,-0.027751562,-0.014583333
임종성,Bears (KBO),2루,-5.10562036,-0.0388879,-0.040554567,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0.25,0.198732605,-0.568324031,0.001654143,1.414285714,-0.038875781,0.001666667
이영빈,Twins (KBO),1루,44.18548849,-0.398825808,-0.250909141,63,71,14,2,0,2,4,0,2,2,0,20,0,0,1,11,12,0.222222222,0.260869565,0.349206349,0.610075914,0.268344971,-5.356924995,-0.623302378,4.776103548,-0.078864039,-0.147916667
최민창,Landers (KBO),우익,-145.8241613,-0.08844099,-0.08469099,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,-0.996909902,0,0,0,-0.00375
박성빈,Heroes (KBO),포수,98.26057432,0.071663698,0.048747031,9,11,2,1,0,0,1,1,0,0,0,2,0,0,0,1,2,0.222222222,0.363636364,0.333333333,0.696969697,0.344713604,-0.025864772,0.004962429,3.914285714,-0.041627343,0.022916667
신범수,Landers (KBO),지명,56.70185002,-0.112373329,-0.027789996,27,29,6,3,0,0,1,1,0,0,0,5,0,0,0,4,2,0.222222222,0.275862069,0.333333333,0.609195402,0.286021455,-1.697373537,0.008270715,4.747619048,-0.038797133,-0.084583333
최경모,Landers (KBO),2루,23.04500321,-0.307902692,-0.328736026,35,50,6,0,0,0,8,0,0,7,0,7,2,6,3,12,0,0.171428571,0.325581395,0.171428571,0.497009967,0.238488893,-5.201360048,-0.716223138,6.485708604,0.130222927,0.020833333
김성진,Twins (KBO),지명,101.8868338,0.01109708,0.057763746,15,16,4,0,0,1,1,0,0,0,0,4,1,0,0,1,2,0.266666667,0.3125,0.466666667,0.779166667,0.349834863,0.040809731,0.006616572,-1.442857143,-0.269788838,-0.046666667
강진성,Landers (KBO),지명,14.57400818,-0.30317649,-0.212759823,27,31,5,0,0,0,3,0,0,1,0,5,0,0,0,4,2,0.185185185,0.266666667,0.185185185,0.451851852,0.226525559,-3.579825129,0.013233144,3.914285714,-0.111006248,-0.090416667
최명경,Twins (KBO),3루,72.65512167,0.001438454,0.000188454,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0.666666667,0.308551786,-0.110893819,0.001654143,1.414285714,-0.038875781,0.00125
김시앙,Heroes (KBO),포수,-51.20208562,-0.092214541,-0.106797874,7,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.142857143,0.142857143,0.142857143,0.285714286,0.13363194,-1.430757102,0.001654143,6.414285714,0.011124219,0.014583333
류효승,Landers (KBO),지명,-145.8241613,-0.062293993,-0.05646066,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.664606601,0,0,0,-0.005833333
장준원,Wiz (KBO),유격,15.58188948,-0.106519229,-0.129019229,14,18,1,0,0,0,4,0,0,0,0,5,0,0,0,1,0,0.071428571,0.277777778,0.071428571,0.349206349,0.22794896,-2.054084102,0.008270715,2.414285714,-0.144378905,0.0225
김주형,Heroes (KBO),유격,25.9375237,-0.166596816,-0.197846816,20,25,3,0,0,0,1,3,0,1,0,9,0,0,1,0,2,0.15,0.291666667,0.15,0.441666667,0.242573913,-2.502927823,-0.634881379,2.279898494,-0.09065896,0.03125
장규현,Eagles (KBO),포수,-65.41356648,-0.110662224,-0.125245557,6,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0,0.142857143,0.113561489,-1.565233932,0.001654143,1.414285714,-0.038875781,0.014583333
김수윤,Dinos (KBO),1루,41.03140903,-0.061713134,-0.040879801,9,10,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0.222222222,0.3,0.222222222,0.522222222,0.263890558,-0.797133093,0.004962429,1.414285714,-0.116627343,-0.020833333
유로결,Eagles (KBO),우익,41.24453312,-0.27692533,-0.22817533,36,39,8,1,0,0,3,0,0,0,0,11,4,0,1,6,4,0.222222222,0.282051282,0.25,0.532051282,0.264191547,-3.09758318,-0.62991895,0.259352059,-0.504251175,-0.04875
한유섬,Landers (KBO),우익,89.61313037,0.860605943,1.509355943,460,519,109,29,0,24,43,9,3,1,3,142,2,0,1,64,87,0.236956522,0.316602317,0.456521739,0.773124056,0.332501077,-7.287224129,-0.467812932,2.916168801,-3.101403513,-0.64875
김창평,Landers (KBO),지명,-20.7410138,-0.105977425,-0.079727425,7,9,0,0,0,0,2,0,0,0,0,4,0,1,0,1,0,0,0.222222222,0,0.222222222,0.176651205,-1.468951362,0.203308286,6.220305089,0.018368826,-0.02625
안치영,Wiz (KBO),중견,27.46090488,-0.25750178,-0.27750178,44,48,11,0,0,0,2,0,0,2,0,12,0,0,1,12,3,0.25,0.282608696,0.25,0.532608696,0.244725339,-4.706775236,-0.624956521,6.607813467,0.156713959,0.02
