이름,팀,,fWAR,(RA9+f)/2 WAR,이닝,실점,자책점,삼진,피안타,4구,사구,피홈런,승,패,홀,세,ERA,FIP,ERA+,FIP+,WHIP,K/9,BB/9,K/BB,HR/9,RA9,WIN%,ERA-WAR
박시후,Landers (KBO),,0.223980653,0.188453897,9.2,6,6,8,10,7,1,0,0,0,0,0,5.869565217,4.625575477,90.5682707,114.9254561,1.847826087,7.826086957,6.847826087,1.142857143,0,5.869565217,0,0.102864382
최채흥,Lions (KBO),,0.195921367,0.184725351,15,11,10,11,20,9,0,2,0,0,0,1,6,5.822676926,90.93865321,93.70808756,1.933333333,6.6,5.4,1.222222222,1.2,6.6,0,0.171082848
정우준,Giants (KBO),,-0.013276879,0.178127,8.1,3,3,5,10,5,0,2,0,0,0,0,3.333333333,7.583170754,161.5568126,71.01550606,1.851851852,5.555555556,5.555555556,1,2.222222222,3.333333333,0,0.335696582
육선엽,Lions (KBO),,-0.104197185,0.174633731,14,7,6,9,13,14,2,3,0,0,0,0,3.857142857,8.684581688,141.4601272,62.82765697,1.928571429,5.785714286,9,0.642857143,1.928571429,4.5,0,0.492781907
김승현,Tigers (KBO),,0.133563019,0.170849523,18,12,8,11,23,7,0,3,1,0,0,0,4,5.867121371,123.9948537,84.53539364,1.666666667,5.5,3.5,1.571428571,1.5,6,1,0.51181384
박신지,Bears (KBO),,0.001937374,0.164455224,8.2,3,2,3,8,8,1,0,0,1,0,0,2.195121951,6.316985869,212.1560355,73.72319333,1.951219512,3.292682927,8.780487805,0.375,0,3.292682927,0,0.426596199
최성훈,Lions (KBO),,0.207601485,0.161971996,13,10,10,10,14,9,1,1,0,1,0,3,6.923076923,5.525241029,78.81349945,98.75260037,1.769230769,6.923076923,6.230769231,1.111111111,0.692307692,6.923076923,0,0.047892638
이호성,Lions (KBO),,0.147062656,0.131740436,45,39,37,28,66,26,2,9,2,4,0,0,7.4,6.978232482,73.73404314,78.19056196,2.044444444,5.6,5.2,1.076923077,1.8,7.8,0.333333333,0.010967355
김민규,Bears (KBO),,-0.043613098,0.124213251,20.2,12,10,14,19,16,4,2,0,0,0,0,4.455445545,6.627297388,104.5256565,70.27123475,1.732673267,6.237623762,7.128712871,0.875,0.891089109,5.346534653,0,0.38630622
이용준,Dinos (KBO),,0.315381315,0.116070704,30.2,25,22,23,38,12,1,4,2,3,0,0,6.556291391,5.246076485,71.50225469,89.36004234,1.655629139,6.854304636,3.57615894,1.916666667,1.19205298,7.450331126,0.4,-0.039262633
최이준,Giants (KBO),,0.243155652,0.115197186,24.2,22,20,17,40,16,1,3,3,0,0,0,7.438016529,6.070059846,72.40138638,88.71785818,2.314049587,6.32231405,5.950413223,1.0625,1.115702479,8.181818182,1,-0.016358203
손주환,Dinos (KBO),,0.072128352,0.108286398,2,0,0,2,0,0,1,0,0,0,0,0,0,3.25601026,0,143.9767014,0,9,0,0,0,0,0,0.144444444
이준호,Dinos (KBO),,0.212722198,0.107143739,46,36,36,41,62,26,3,7,3,5,0,2,7.043478261,5.842966781,66.55655054,80.23143625,1.913043478,8.02173913,5.086956522,1.576923077,1.369565217,7.043478261,0.375,-0.219837001
홍원표,Lions (KBO),,0.010087205,0.106398329,6.1,3,3,5,4,6,0,1,0,0,0,0,4.426229508,7.198633211,123.2723966,75.79659962,1.639344262,7.37704918,8.852459016,0.833333333,1.475409836,4.426229508,0,0.171554242
소형준,Wiz (KBO),,-0.023337508,0.103248341,4,1,1,1,5,1,1,1,1,0,0,0,2.25,8.00601026,231.54968,65.07445821,1.5,2.25,2.25,1,2.25,2.25,1,0.219024391
우강훈,Twins (KBO),,0.037225725,0.095133704,10.2,6,4,10,11,8,6,0,1,0,0,0,3.529411765,5.912873005,131.950705,78.76177455,1.862745098,8.823529412,7.058823529,1.25,0,5.294117647,1,0.323207028
권휘,Bears (KBO),,0.337345159,0.091115135,8.2,10,10,11,15,5,0,0,0,0,0,0,10.97560976,2.902351723,42.43120709,160.4589708,2.43902439,12.07317073,5.487804878,2.2,0,10.97560976,0,-0.179879207
진우영,Twins (KBO),,0.049740148,0.090313334,7.2,4,4,6,8,4,0,1,0,0,0,0,5,5.561565815,93.1416741,83.73691618,1.666666667,7.5,5,1.5,1.25,5,0,0.091628254
김승일,Eagles (KBO),,0.079374915,0.07940968,1.1,0,0,2,3,0,0,0,0,0,0,0,0,0.119646623,0,4191.475322,2.727272727,16.36363636,0,0,0,0,0,0.079444444
박정우,Tigers (KBO),,0.071953982,0.072088102,1,0,0,2,0,0,0,0,0,0,0,0,0,-0.24398974,0,-2032.787994,0,18,0,0,0,0,0,0.072222222
임상현,Dinos (KBO),,0.111268464,0.071613259,35.1,27,21,18,36,21,0,4,1,4,0,0,5.384615385,6.00672251,87.06092884,78.04416069,1.623931624,4.615384615,5.384615385,0.857142857,1.025641026,6.923076923,0.2,0.316519806
이민석,Giants (KBO),,0.219873401,0.069028583,27.2,26,24,19,36,25,2,2,0,2,0,1,7.941176471,6.292774966,67.81397071,85.57793843,2.242647059,6.286764706,8.272058824,0.76,0.661764706,8.602941176,0,-0.105750363
임준형,Twins (KBO),,0.152942246,0.067402316,11.2,9,9,9,15,4,2,1,0,0,0,0,7.232142857,4.916724545,64.39424382,94.71923152,1.696428571,7.232142857,3.214285714,2.25,0.803571429,7.232142857,0,-0.070787433
요키시,Dinos (KBO),,0.214810101,0.067186394,34.1,28,24,25,44,19,2,4,3,3,0,0,6.33431085,5.662168617,74.00799043,82.79329856,1.847507331,6.598240469,5.014662757,1.315789474,1.055718475,7.390029326,0.5,0.014729319
박성빈,Landers (KBO),,0.052203395,0.06582392,1.1,0,0,2,1,0,1,0,0,0,0,0,0,2.846919351,0,186.7268812,0.909090909,16.36363636,0,0,0,0,0,0.079444444
성동현,Twins (KBO),,-0.012943595,0.065750425,2,0,0,1,0,3,0,0,0,0,0,0,0,7.25601026,0,64.18242999,1.5,4.5,13.5,0.333333333,0,0,0,0.144444444
김민규,Dinos (KBO),,0.056974223,0.064165335,5,3,3,1,5,3,0,0,0,0,0,0,5.4,5.15601026,86.812892,90.92100155,1.6,1.8,5.4,0.333333333,0,5.4,0,0.044311103
박준표,Tigers (KBO),,0.087924162,0.054309057,4,3,3,3,8,2,1,0,0,0,0,1,6.75,4.50601026,73.47843179,110.0706359,2.5,6.75,4.5,1.5,0,6.75,0,0.000271327
박세진,Wiz (KBO),,0.078827089,0.053210519,5.1,4,2,2,7,4,0,0,0,0,0,0,3.529411765,5.324637711,147.612921,97.84454987,2.156862745,3.529411765,7.058823529,0.5,0,7.058823529,0,0.190077758
이충호,Eagles (KBO),,0.031120633,0.047643464,2.1,1,1,3,4,3,0,0,0,0,0,0,4.285714286,5.184581688,117.0157028,96.72831856,3.333333333,12.85714286,12.85714286,1,0,4.285714286,0,0.053183317
박치국,Bears (KBO),,-0.073650075,0.045186027,44.2,32,32,32,57,18,10,8,1,3,1,3,6.515837104,6.561440124,71.47329853,70.97654809,1.696832579,6.515837104,3.665158371,1.777777778,1.628959276,6.515837104,0.25,-0.058354337
장재혁,Tigers (KBO),,0.002344526,0.040894485,1.1,0,0,0,2,1,0,0,0,0,0,0,0,6.483282987,0,76.50127499,2.727272727,0,8.181818182,0,0,0,0,0.079444444
윤호솔,Twins (KBO),,-0.024295385,0.039784735,4.1,2,2,5,4,8,0,0,0,0,0,0,4.390243902,7.170644406,106.0780177,64.94651584,2.926829268,10.97560976,17.56097561,0.625,0,4.390243902,0,0.081757655
