이름,팀,,fWAR,(RA9+f)/2 WAR,이닝,실점,자책점,삼진,피안타,4구,사구,피홈런,승,패,홀,세,ERA,FIP,ERA+,FIP+,WHIP,K/9,BB/9,K/BB,HR/9,RA9,WIN%,ERA-WAR
하트,Dinos (KBO),,5.64875509,6.499249211,151,45,41,172,119,37,9,9,13,2,0,0,2.443708609,3.166606286,191.8353175,148.0416492,1.033112583,10.25165563,2.205298013,4.648648649,0.536423841,2.682119205,0.866666667,7.320618437
윌커슨,Giants (KBO),,6.601485102,6.384603005,183,88,82,159,200,25,2,18,11,8,0,0,4.032786885,3.739616817,133.5361188,144.0047831,1.229508197,7.819672131,1.229508197,6.36,0.885245902,4.327868852,0.578947368,5.910897592
후라도,Heroes (KBO),,5.114186289,5.85089049,184.1,72,65,165,180,31,8,16,10,7,0,0,3.177620858,3.728851107,143.7248119,122.4781969,1.146116241,8.066268332,1.515480717,5.322580645,0.782183596,3.519826181,0.588235294,6.623676332
반즈,Giants (KBO),,4.37847134,5.460862111,138.2,49,46,157,125,41,5,17,9,5,0,0,2.995658466,4.08162531,179.7677254,131.938301,1.201157742,10.22431259,2.670043415,3.829268293,1.107091172,3.191027496,0.642857143,6.352364184
코너,Lions (KBO),,4.181776358,5.365673616,160,67,61,158,135,40,19,21,11,6,0,0,3.43125,4.59351026,159.01841,118.7832155,1.09375,8.8875,2.25,3.95,1.18125,3.76875,0.647058824,6.517479664
쿠에바스,Wiz (KBO),,4.60521532,5.010966611,170,82,75,153,153,57,7,16,7,12,0,0,3.970588235,4.308951436,131.2114853,120.9080185,1.235294118,8.1,3.017647059,2.684210526,0.847058824,4.341176471,0.368421053,5.337529432
원태인,Lions (KBO),,3.902363575,4.934443904,153.2,67,64,114,145,41,7,17,14,6,0,0,3.759791123,4.650266134,145.1229341,117.3334823,1.214099217,6.697127937,2.408616188,2.780487805,0.998694517,3.936031332,0.7,5.584127839
류현진,Eagles (KBO),,5.187451019,4.862062971,158.1,78,68,135,182,33,3,12,10,8,0,0,3.870967742,3.718059596,129.5530995,134.8810734,1.359898798,7.685009488,1.878557875,4.090909091,0.683111954,4.440227704,0.555555556,4.859690606
레예스,Lions (KBO),,4.240349405,4.719885696,138,62,58,107,155,30,6,13,10,4,0,0,3.782608696,4.212531999,144.2475189,129.5258812,1.34057971,6.97826087,1.956521739,3.566666667,0.847826087,4.043478261,0.714285714,4.989497112
네일,Tigers (KBO),,4.743985816,4.717590646,149.1,69,42,138,154,35,9,11,12,5,0,0,2.535211268,3.749303352,195.6363246,132.2857523,1.267605634,8.329979879,2.112676056,3.942857143,0.663983903,4.16498994,0.705882353,7.33650169
박세웅,Giants (KBO),,4.390507018,4.087934715,167.1,99,88,121,181,56,11,13,6,10,0,0,4.73967684,4.522018638,113.6201321,119.0890069,1.418312388,6.517055655,3.016157989,2.160714286,0.700179533,5.332136445,0.375,3.963990946
양현종,Tigers (KBO),,3.17977573,3.975471944,166.1,81,75,125,168,41,6,21,11,4,0,0,4.063816978,4.743367274,122.0476752,104.5627264,1.258278146,6.773028296,2.221553281,3.048780488,1.137868754,4.388922336,0.733333333,4.582939697
엔스,Twins (KBO),,3.827509673,3.935292083,161.2,79,74,154,161,50,6,15,12,6,0,0,4.131513648,4.097201327,112.721005,113.6649955,1.308933002,8.598014888,2.791563275,3.08,0.837468983,4.410669975,0.666666667,3.753956448
헤이수스,Heroes (KBO),,3.237045167,3.880696238,165.1,76,68,173,164,42,14,21,13,11,0,0,3.706844337,4.331419103,123.2053247,105.4395682,1.247728649,9.430648092,2.289521502,4.119047619,1.144760751,4.142943671,0.541666667,4.638433457
앤더슨,Landers (KBO),,3.850692143,3.874942288,108.2,49,45,149,92,47,8,10,10,2,0,0,3.743068392,3.728283827,142.0215491,142.5847377,1.284658041,12.39371534,3.909426987,3.170212766,0.831792976,4.075785582,0.833333333,3.829632203
임찬규,Twins (KBO),,3.443889564,3.814242,129,55,54,131,140,40,5,11,9,6,0,1,3.76744186,3.880041267,123.6139502,120.0266539,1.395348837,9.139534884,2.790697674,3.275,0.76744186,3.837209302,0.6,3.646925282
곽빈,Bears (KBO),,3.472239662,3.721487919,156.1,76,72,145,129,72,5,10,13,9,0,0,4.151185138,4.210846903,112.1868467,110.5973172,1.287636131,8.360025625,4.151185138,2.013888889,0.576553491,4.381806534,0.590909091,3.594558916
엄상백,Wiz (KBO),,3.102122869,3.247526344,151.2,87,85,156,159,41,6,26,13,10,0,0,5.05952381,4.860507614,102.9715048,107.1877305,1.322751323,9.285714286,2.44047619,3.804878049,1.547619048,5.178571429,0.565217391,2.765897798
벤자민,Wiz (KBO),,2.683484068,2.995218244,140.2,79,68,144,132,41,4,25,11,7,0,0,4.365192582,4.98282909,119.3502395,104.5564218,1.233951498,9.243937233,2.631954351,3.512195122,1.604850214,5.071326676,0.611111111,3.700265268
김재열,Dinos (KBO),,2.120105839,2.897835919,66.2,16,15,66,54,26,0,3,1,4,2,12,2.039274924,3.529424157,229.880538,132.8232584,1.208459215,8.972809668,3.534743202,2.538461538,0.407854985,2.175226586,0.2,3.610683171
주현상,Eagles (KBO),,1.905548144,2.876408079,68.1,17,17,61,45,8,1,9,8,3,22,2,2.246696035,4.079064592,223.214828,122.9438411,0.778267254,8.061674009,1.057268722,7.625,1.189427313,2.246696035,0.727272727,3.653529313
엘리아스,Landers (KBO),,2.669829508,2.856724296,109.2,58,55,87,116,27,6,13,5,7,0,0,4.532967033,4.616816121,117.2733813,115.143501,1.30952381,7.17032967,2.225274725,3.222222222,1.071428571,4.78021978,0.416666667,2.778548555
하영민,Heroes (KBO),,2.928328799,2.836979391,145.1,78,69,97,161,55,5,7,9,7,0,0,4.27980703,4.286678764,106.7111103,106.5400477,1.488628532,6.016540317,3.411440386,1.763636364,0.434183322,4.838042729,0.5625,2.941206525
김택연,Bears (KBO),,2.236691564,2.781279804,62.2,16,14,77,50,28,4,2,3,2,18,4,2.025723473,3.241540806,229.8973067,143.6688286,1.254019293,11.1414791,4.051446945,2.75,0.289389068,2.31511254,0.6,3.392649893
김광현,Landers (KBO),,2.480720146,2.735183478,151,93,87,143,158,65,6,24,10,10,0,0,5.185430464,5.338791717,102.5173079,99.57241258,1.476821192,8.523178808,3.874172185,2.2,1.430463576,5.543046358,0.5,2.725182083
브랜든,Bears (KBO),,3.115967774,2.654990919,75,34,26,75,75,11,4,3,7,4,0,0,3.12,2.87601026,149.2655034,161.9286193,1.146666667,9,1.32,6.818181818,0.36,4.08,0.636363636,2.835102899
손주영,Twins (KBO),,2.207349047,2.581563618,136.2,71,61,102,152,54,9,11,8,10,0,0,4.030837004,4.69580468,115.5363936,99.17541344,1.512481645,6.740088106,3.568281938,1.888888889,0.726872247,4.691629956,0.444444444,3.355207444
김민,Wiz (KBO),,2.640907891,2.566491898,76,36,35,76,82,26,2,5,8,4,0,21,4.144736842,3.716536575,125.6983977,140.1807219,1.421052632,9,3.078947368,2.923076923,0.592105263,4.263157895,0.666666667,2.2158585
노경은,Landers (KBO),,1.485489049,2.546907988,79.2,29,26,65,67,32,4,10,7,5,0,36,2.954545455,5.119646623,179.9249257,103.8345829,1.25,7.386363636,3.636363636,2.03125,1.136363636,3.295454545,0.583333333,3.643203707
와이스,Eagles (KBO),,2.534378528,2.427299551,81,40,36,88,69,24,2,8,4,5,0,0,4,3.830084334,125.3739673,130.9359861,1.148148148,9.777777778,2.666666667,3.666666667,0.888888889,4.444444444,0.444444444,2.350590364
고영표,Wiz (KBO),,3.328353301,2.355898341,89,58,52,71,134,12,11,4,5,7,0,0,5.258426966,3.520055204,99.07654578,148.0052868,1.640449438,7.179775281,1.213483146,5.916666667,0.404494382,5.865168539,0.416666667,1.437461898
박영현,Wiz (KBO),,1.871050051,2.328275298,73,31,30,85,59,21,0,12,10,2,25,0,3.698630137,4.427243136,140.8593887,117.677472,1.095890411,10.47945205,2.589041096,4.047619048,1.479452055,3.821917808,0.833333333,2.554145023
이승현,Lions (KBO),,1.855057926,2.31518257,87.1,44,41,68,88,37,6,9,6,4,0,0,4.236509759,5.018926448,128.7927918,108.7148666,1.435132032,7.026406429,3.823191734,1.837837838,0.929965557,4.546498278,0.6,2.65059304
최원태,Twins (KBO),,1.98319176,2.277906852,120.2,63,57,100,120,55,5,10,9,6,0,0,4.267886855,4.671151691,109.1191932,99.69883261,1.455906822,7.487520799,4.118136439,1.818181818,0.74875208,4.717138103,0.6,2.584630547
우규민,Wiz (KBO),,2.19766239,2.158825767,43,14,12,39,47,2,2,1,3,1,1,4,2.511627907,2.52345212,207.4299217,206.4579613,1.139534884,8.162790698,0.418604651,19.5,0.209302326,2.930232558,0.75,2.204549402
김원중,Giants (KBO),,1.923927056,2.129130644,60.1,26,24,65,56,31,1,4,3,6,24,0,3.594009983,4.055511092,149.8389573,132.7878771,1.447587354,9.733777038,4.642262895,2.096774194,0.599001664,3.893510815,0.333333333,2.282796595
오원석,Landers (KBO),,1.595996884,2.11865413,121.2,72,68,112,122,65,13,17,6,9,0,1,5.04950495,5.661950854,105.2769285,93.88925924,1.54290429,8.316831683,4.826732673,1.723076923,1.262376238,5.346534653,0.4,2.365949424
카스타노,Dinos (KBO),,2.379062209,2.063611257,111.2,65,54,89,117,25,7,11,8,6,0,0,4.370503597,4.304571411,107.262151,108.9050621,1.276978417,7.20323741,2.023381295,3.56,0.89028777,5.260791367,0.571428571,2.285720988
유영찬,Twins (KBO),,1.928383141,2.060910633,59.2,23,20,71,59,30,3,2,7,5,25,1,3.040540541,3.468848098,153.1663085,134.2544722,1.503378378,10.79391892,4.560810811,2.366666667,0.304054054,3.496621622,0.583333333,2.309686781
조병현,Landers (KBO),,2.00327511,2.020080901,67.1,34,29,86,51,30,2,8,4,6,8,11,3.889716841,4.17329789,136.6671131,127.3804041,1.207153502,11.53502235,4.023845007,2.866666667,1.073025335,4.560357675,0.4,2.246353771
김상수,Giants (KBO),,2.016055221,1.918088329,70,39,33,55,68,24,4,5,8,4,2,17,4.242857143,4.313153117,126.9245441,124.8559219,1.314285714,7.071428571,3.085714286,2.291666667,0.642857143,5.014285714,0.666666667,2.076686259
문동주,Eagles (KBO),,2.121747171,1.867096575,111.1,71,64,96,148,38,4,14,7,7,0,0,5.184518452,4.80011467,96.72949838,104.4758102,1.674167417,7.776777678,3.078307831,2.526315789,1.134113411,5.751575158,0.5,1.646503713
한현희,Giants (KBO),,1.969856274,1.79599935,71.1,42,41,64,84,24,8,6,4,2,0,8,5.189873418,4.40298635,103.7641317,122.308512,1.518987342,8.101265823,3.037974684,2.666666667,0.759493671,5.316455696,0.666666667,1.330886034
이병헌,Bears (KBO),,1.299340359,1.792969248,63.2,25,21,55,57,33,3,3,6,1,1,20,2.990506329,4.341453298,155.7289366,107.2701555,1.424050633,7.832278481,4.699367089,1.666666667,0.42721519,3.560126582,0.857142857,2.514249504
신민혁,Dinos (KBO),,1.256278152,1.761208943,121,67,58,74,140,16,7,20,8,9,0,0,4.314049587,5.251878028,108.6657924,89.26132981,1.289256198,5.504132231,1.190082645,4.625,1.487603306,4.983471074,0.470588235,2.574045271
발라조빅,Bears (KBO),,1.850330051,1.759424368,50.1,21,20,63,43,27,1,1,2,5,0,0,3.592814371,3.177167944,129.6221631,146.5797146,1.397205589,11.31736527,4.850299401,2.333333333,0.179640719,3.77245509,0.285714286,1.541365829
전상현,Tigers (KBO),,1.612868569,1.745240912,64.2,31,29,54,53,20,5,5,10,5,7,17,4.065420561,4.254452627,121.9995342,116.5789017,1.137071651,7.570093458,2.803738318,2.7,0.700934579,4.345794393,0.666666667,1.770018212
켈리,Twins (KBO),,1.629711776,1.739968184,113.2,65,57,69,131,25,6,13,5,8,0,0,4.53180212,4.85141662,102.7644981,95.99430578,1.378091873,5.485865724,1.987632509,2.76,1.033568905,5.167844523,0.384615385,2.058119263
이승현,Lions (KBO),,1.492047346,1.680237631,59.1,30,29,51,65,23,3,6,6,1,1,9,4.416243655,4.669715843,123.5511357,116.8447798,1.489001692,7.766497462,3.502538071,2.217391304,0.913705584,4.568527919,0.857142857,1.669204564
정해영,Tigers (KBO),,0.823056294,1.650247849,48.1,14,14,48,46,15,1,8,2,3,30,1,2.61954262,4.920251424,189.3381734,100.8036728,1.268191268,8.981288981,2.806652807,3.2,1.496881497,2.61954262,0.4,2.308224605
장현식,Tigers (KBO),,1.535051496,1.644467437,73.2,39,32,74,73,33,2,8,5,4,0,15,3.93442623,4.589343593,126.0614345,108.0719725,1.448087432,9.098360656,4.057377049,2.242424242,0.983606557,4.795081967,0.555555556,2.145349827
최지광,Lions (KBO),,1.164947557,1.641440025,36.1,9,9,38,22,21,4,1,3,2,0,7,2.243767313,4.088420232,243.1766949,133.4578855,1.191135734,9.473684211,5.235457064,1.80952381,0.249307479,2.243767313,0.6,2.027035676
박상원,Eagles (KBO),,2.121211584,1.638079866,61,36,34,59,53,20,7,2,3,3,2,14,5.016393443,3.575682391,99.97139875,140.2517937,1.196721311,8.704918033,2.950819672,2.95,0.295081967,5.31147541,0.5,1.015696588
바리아,Eagles (KBO),,2.300898161,1.635793659,82,55,50,76,105,16,0,10,6,6,0,0,5.487804878,4.07308343,91.38369171,123.1243793,1.475609756,8.341463415,1.756097561,4.75,1.097560976,6.036585366,0.5,0.957303148
임창민,Lions (KBO),,1.35823387,1.619238536,53.1,25,23,49,59,29,2,4,2,1,1,28,3.898305085,4.64113267,139.9664489,117.5643874,1.657250471,8.305084746,4.915254237,1.689655172,0.677966102,4.237288136,0.666666667,1.841123348
김시훈,Dinos (KBO),,1.384078632,1.58713645,105.1,60,54,72,109,58,3,7,3,4,0,5,4.62416746,4.992927481,101.3781661,93.89073216,1.588962892,6.165556613,4.966698382,1.24137931,0.599429115,5.137963844,0.428571429,1.831580542
곽도규,Tigers (KBO),,1.199321586,1.513271622,54.2,24,22,63,43,34,4,4,4,2,2,16,3.653136531,4.49401764,135.7681024,110.3643676,1.420664207,10.46125461,5.645756458,1.852941176,0.664206642,3.985239852,0.666666667,1.796402346
김영규,Dinos (KBO),,1.473188623,1.49354525,45.2,19,16,48,40,14,1,3,4,2,1,14,3.185840708,3.490523534,147.1478519,134.3035256,1.194690265,9.557522124,2.787610619,3.428571429,0.597345133,3.783185841,0.666666667,1.677768538
홍건희,Bears (KBO),,0.63339872,1.492446509,55.2,19,15,44,50,32,5,4,4,3,9,9,2.445652174,5.114705912,190.4229782,91.05281487,1.485507246,7.173913043,5.217391304,1.375,0.652173913,3.097826087,0.571428571,2.660852457
산체스,Eagles (KBO),,1.620174756,1.477158268,53.1,28,25,56,60,21,10,2,2,3,0,0,4.237288136,3.887837002,118.3530251,128.9909708,1.525423729,9.491525424,3.559322034,2.666666667,0.338983051,4.745762712,0.4,1.377427689
송영진,Landers (KBO),,1.791105258,1.443561546,95.1,68,58,66,108,47,1,9,5,9,0,0,5.488958991,5.112477137,96.84830446,103.9801954,1.629863302,6.246056782,4.447949527,1.404255319,0.851735016,6.43533123,0.357142857,1.415861786
김민수,Wiz (KBO),,2.02527541,1.424959159,76.1,54,45,71,82,31,1,7,5,3,0,12,5.321944809,4.347337461,97.89405916,119.8404276,1.484888305,8.396846255,3.666228647,2.290322581,0.827858081,6.386333771,0.625,1.178360746
크로우,Tigers (KBO),,1.567878822,1.390235953,40.1,19,16,43,41,12,1,2,5,1,0,0,3.591022444,3.232319487,138.1164898,153.4438092,1.321695761,9.650872818,2.693266833,3.583333333,0.448877805,4.264339152,0.833333333,1.363736665
황동하,Tigers (KBO),,1.22687193,1.369701026,98.1,61,48,80,103,42,7,13,5,6,0,0,4.403669725,5.346224327,112.6286587,92.77190486,1.478083588,7.339449541,3.853211009,1.904761905,1.19266055,5.596330275,0.454545455,2.280107086
김태훈,Lions (KBO),,0.972486735,1.351749788,50.1,24,23,36,48,18,4,6,3,2,0,22,4.131736527,5.193136008,132.0587399,105.0679047,1.317365269,6.467065868,3.233532934,2,1.077844311,4.311377246,0.6,1.58962793
이민우,Eagles (KBO),,1.106636996,1.34815122,51,24,22,46,53,22,1,5,1,1,1,10,3.882352941,4.579539671,129.1731784,109.5079211,1.470588235,8.117647059,3.882352941,2.090909091,0.882352941,4.235294118,0.5,1.559849084
한두솔,Landers (KBO),,1.940253503,1.340420967,56.2,39,32,66,57,29,3,3,2,1,0,3,5.12455516,3.809391043,103.7351253,139.548911,1.53024911,10.56939502,4.644128114,2.275862069,0.480427046,6.245551601,0.666666667,1.051108502
황동재,Lions (KBO),,1.135200986,1.299406057,42,20,19,30,38,18,4,2,1,2,0,0,4.071428571,4.517915022,134.0148574,120.7707353,1.333333333,6.428571429,3.857142857,1.666666667,0.428571429,4.285714286,0.333333333,1.364280707
윤영철,Tigers (KBO),,0.964372182,1.281934638,75.1,42,36,55,76,40,1,8,7,4,0,0,4.31424767,5.313933029,114.9631297,93.335654,1.54460719,6.591211718,4.793608522,1.375,0.958721704,5.033288948,0.636363636,1.829704138
김진욱,Giants (KBO),,1.158126834,1.241424501,80.1,53,49,81,82,44,3,13,4,3,0,0,5.505617978,5.603700647,97.81330829,96.10126281,1.573033708,9.101123596,4.943820225,1.840909091,1.460674157,5.95505618,0.571428571,1.236627761
오승환,Lions (KBO),,1.005069175,1.231821795,54.1,30,30,41,71,17,3,8,3,9,27,2,4.990757856,5.271721905,109.3284697,103.5016507,1.626617375,6.820702403,2.828096118,2.411764706,1.330868762,4.990757856,0.25,1.169013023
최지강,Bears (KBO),,0.467870772,1.186629437,50,19,18,45,48,24,6,6,3,1,1,15,3.24,5.31601026,143.7371514,87.60486676,1.44,8.1,4.32,1.875,1.08,3.42,0.75,1.799144033
